编号	名称	品种	类别
312	草头	菜苜蓿	叶菜类
313	金花菜	菜苜蓿	叶菜类
314	黄花苜蓿	菜苜蓿	叶菜类
315	刺苜蓿	菜苜蓿	叶菜类
316	南苜蓿	菜苜蓿	叶菜类
317	黄花草子	菜苜蓿	叶菜类
318	番杏	番杏	叶菜类
319	新西兰菠菜	番杏	叶菜类
320	夏菠菜	番杏	叶菜类
321	白番苋	番杏	叶菜类
322	海滨莴苣	番杏	叶菜类
323	宾菜	番杏	叶菜类
324	蔓菜	番杏	叶菜类
325	苦苣	苦苣	叶菜类
326	花叶生菜	苦苣	叶菜类
327	圆生菜	苦苣	叶菜类
328	花苣	苦苣	叶菜类
329	紫背天葵	紫背天葵	叶菜类
330	血皮菜	紫背天葵	叶菜类
331	紫背菜	紫背天葵	叶菜类
332	红凤菜	紫背天葵	叶菜类
333	观音苋	紫背天葵	叶菜类
334	双色三七草	紫背天葵	叶菜类
335	罗勒	罗勒	叶菜类
336	毛罗勒	罗勒	叶菜类
337	九层塔	罗勒	叶菜类
338	零陵香	罗勒	叶菜类
339	兰香草	罗勒	叶菜类
340	光明子	罗勒	叶菜类
341	省头草	罗勒	叶菜类
342	马齿苋	马齿苋	叶菜类
343	马齿菜	马齿苋	叶菜类
344	长命菜	马齿苋	叶菜类
345	五行草	马齿苋	叶菜类
346	瓜子菜	马齿苋	叶菜类
347	马蛇子菜	马齿苋	叶菜类
348	紫苏	紫苏	叶菜类
349	荏	紫苏	叶菜类
350	赤苏	紫苏	叶菜类
351	白苏	紫苏	叶菜类
352	香苏	紫苏	叶菜类
353	苏叶	紫苏	叶菜类
354	桂荏	紫苏	叶菜类
355	回回苏	紫苏	叶菜类
356	榆钱菠菜	榆钱菠菜	叶菜类
357	食用滨藜	榆钱菠菜	叶菜类
358	洋菠菜	榆钱菠菜	叶菜类
359	山菠菜	榆钱菠菜	叶菜类
360	山菠薐草	榆钱菠菜	叶菜类
361	薄荷	薄荷	叶菜类
362	薄荷叶	薄荷	叶菜类
363	山野薄荷	薄荷	叶菜类
364	蕃荷菜	薄荷	叶菜类
365	莳萝	莳萝	叶菜类
366	土茴香	莳萝	叶菜类
367	草茴香	莳萝	叶菜类
368	小茴香	莳萝	叶菜类
369	鸭儿芹	鸭儿芹	叶菜类
370	鸭脚板	鸭儿芹	叶菜类
371	三叶芹	鸭儿芹	叶菜类
372	山芹菜	鸭儿芹	叶菜类
373	野蜀葵	鸭儿芹	叶菜类
374	三蜀葵	鸭儿芹	叶菜类
375	水芹菜	鸭儿芹	叶菜类
376	蕺菜	蕺菜	叶菜类
377	鱼腥草	蕺菜	叶菜类
378	蕺儿根	蕺菜	叶菜类
379	侧耳根	蕺菜	叶菜类
380	狗帖耳	蕺菜	叶菜类
381	鱼鳞草	蕺菜	叶菜类
382	菹菜	蕺菜	叶菜类
383	蒲公英	蒲公英	叶菜类
384	黄花苗	蒲公英	叶菜类
385	黄花地丁	蒲公英	叶菜类
386	婆婆丁	蒲公英	叶菜类
387	蒲公草	蒲公英	叶菜类
388	马兰	马兰	叶菜类
389	马兰头	马兰	叶菜类
390	红梗菜	马兰	叶菜类
391	紫菊	马兰	叶菜类
392	田边菊	马兰	叶菜类
393	马兰菊	马兰	叶菜类
394	鸡儿肠	马兰	叶菜类
395	竹节草	马兰	叶菜类
396	香芹菜	香芹菜	叶菜类
397	香芹	香芹菜	叶菜类
398	荷兰芹	香芹菜	叶菜类
399	洋芫荽	香芹菜	叶菜类
400	欧芹	香芹菜	叶菜类
401	法国香菜	香芹菜	叶菜类
402	法香	香芹菜	叶菜类
403	旱芹菜	香芹菜	叶菜类
404	珍珠菜	珍珠菜	叶菜类
405	角菜	珍珠菜	叶菜类
406	白苞蒿	珍珠菜	叶菜类
407	珍珠花菜	珍珠菜	叶菜类
408	甜菜子	珍珠菜	叶菜类
409	鸭脚艾	珍珠菜	叶菜类
410	乳白艾	珍珠菜	叶菜类
411	黄瓜	黄瓜	瓜类
412	荷兰黄瓜	黄瓜	瓜类
413	王瓜	黄瓜	瓜类
414	胡瓜	黄瓜	瓜类
415	冬瓜	冬瓜	瓜类
416	东瓜	冬瓜	瓜类
417	节瓜	节瓜	瓜类
418	毛瓜	节瓜	瓜类
419	南瓜	南瓜	瓜类
420	金瓜	南瓜	瓜类
421	中国南瓜	南瓜	瓜类
422	倭瓜	南瓜	瓜类
423	番瓜	南瓜	瓜类
424	饭瓜	南瓜	瓜类
425	笋瓜	笋瓜	瓜类
426	印度南瓜	笋瓜	瓜类
427	玉瓜	笋瓜	瓜类
428	北瓜	笋瓜	瓜类
429	西葫芦	西葫芦	瓜类
430	美洲南瓜	西葫芦	瓜类
431	蔓瓜	西葫芦	瓜类
432	香瓜	西葫芦	瓜类
433	越瓜	越瓜	瓜类
434	白瓜	越瓜	瓜类
435	脆瓜	越瓜	瓜类
436	酥瓜	越瓜	瓜类
437	梢瓜	越瓜	瓜类
438	菜瓜	菜瓜	瓜类
439	蛇甜瓜	菜瓜	瓜类
440	老羊瓜	菜瓜	瓜类
441	酱瓜	菜瓜	瓜类
442	丝瓜	丝瓜	瓜类
443	圆筒丝瓜	丝瓜	瓜类
444	蛮瓜	丝瓜	瓜类
445	水瓜	丝瓜	瓜类
446	棱角丝瓜	丝瓜	瓜类
447	胜瓜	丝瓜	瓜类
448	苦瓜	苦瓜	瓜类
449	凉瓜	苦瓜	瓜类
450	瓠瓜	瓠瓜	瓜类
451	扁蒲	瓠瓜	瓜类
452	葫芦	瓠瓜	瓜类
453	蒲瓜	瓠瓜	瓜类
454	夜开花	瓠瓜	瓜类
455	瓠子	瓠瓜	瓜类
456	佛手瓜	佛手瓜	瓜类
457	洋丝瓜	佛手瓜	瓜类
458	合掌瓜	佛手瓜	瓜类
459	菜肴梨	佛手瓜	瓜类
460	瓦瓜	佛手瓜	瓜类
461	万年瓜	佛手瓜	瓜类
462	拳头瓜	佛手瓜	瓜类
463	蛇瓜	蛇瓜	瓜类
464	蛇豆	蛇瓜	瓜类
465	蛇丝瓜	蛇瓜	瓜类
466	大豆角	蛇瓜	瓜类
467	番茄	番茄	茄果类
468	圣女果	番茄	茄果类
469	西红柿	番茄	茄果类
470	番柿	番茄	茄果类
471	柿子	番茄	茄果类
472	洋柿子	番茄	茄果类
473	茄子	茄子	茄果类
474	圆茄子	茄子	茄果类
475	长茄子	茄子	茄果类
476	落苏	茄子	茄果类
477	辣椒	辣椒	茄果类
478	小米椒	辣椒	茄果类
479	小米辣	辣椒	茄果类
480	尖椒	辣椒	茄果类
481	杭椒	辣椒	茄果类
482	红杭椒	辣椒	茄果类
483	青杭椒	辣椒	茄果类
484	海椒	辣椒	茄果类
485	辣子	辣椒	茄果类
486	线椒	辣椒	茄果类
487	青线椒	辣椒	茄果类
488	红线椒	辣椒	茄果类
489	辣角	辣椒	茄果类
490	番椒	辣椒	茄果类
491	青椒	青椒	茄果类
492	青圆椒	青椒	茄果类
493	红圆椒	青椒	茄果类
494	大椒	青椒	茄果类
495	灯笼椒	青椒	茄果类
496	柿子椒	青椒	茄果类
497	彩色甜椒	青椒	茄果类
498	彩椒	青椒	茄果类
499	黄椒	青椒	茄果类
500	红椒	青椒	茄果类
501	美人椒	青椒	茄果类
502	甜椒	青椒	茄果类
503	酸浆	酸浆	茄果类
504	红姑娘	酸浆	茄果类
505	洋姑娘	酸浆	茄果类
506	灯笼草	酸浆	茄果类
507	洛神珠	酸浆	茄果类
508	菜豆	菜豆	豆类
509	四季豆	菜豆	豆类
510	芸豆	菜豆	豆类
511	芸扁豆	菜豆	豆类
512	豆角	菜豆	豆类
513	敏豆	菜豆	豆类
514	玉豆	菜豆	豆类
515	油豆	菜豆	豆类
516	长豆角	长豇豆	豆类
517	长豇豆	长豇豆	豆类
518	豇豆	长豇豆	豆类
519	带豆	长豇豆	豆类
520	裙带豆	长豇豆	豆类
521	菜用大豆	菜用大豆	豆类
522	毛豆	菜用大豆	豆类
523	枝豆	菜用大豆	豆类
524	豌豆	豌豆	豆类
525	青豆	豌豆	豆类
526	青斑豆	豌豆	豆类
527	麻豆	豌豆	豆类
528	青小豆	豌豆	豆类
529	荷兰豆	豌豆	豆类
530	淮豆	豌豆	豆类
531	留豆	豌豆	豆类
532	金豆	豌豆	豆类
533	麦豆	豌豆	豆类
534	回回豆	豌豆	豆类
535	甜豌豆	豌豆	豆类
536	蚕豆	蚕豆	豆类
537	胡豆	蚕豆	豆类
538	佛豆	蚕豆	豆类
539	寒豆	蚕豆	豆类
540	罗汉豆	蚕豆	豆类
541	扁豆	扁豆	豆类
542	峨眉豆	扁豆	豆类
543	沿篱豆	扁豆	豆类
544	眉豆	扁豆	豆类
545	肉豆	扁豆	豆类
546	龙爪豆	扁豆	豆类
547	莱豆	莱豆	豆类
548	金甲豆	莱豆	豆类
549	科马豆	莱豆	豆类
550	荷豆	莱豆	豆类
551	雪豆	莱豆	豆类
552	洋扁豆	莱豆	豆类
553	白豆	莱豆	豆类
554	状元豆	莱豆	豆类
555	棉豆	莱豆	豆类
556	荷包豆	莱豆	豆类
557	刀豆	刀豆	豆类
558	大刀豆	刀豆	豆类
559	关刀豆	刀豆	豆类
560	洋刀豆	刀豆	豆类
561	多花菜豆	多花菜豆	豆类
562	红花菜豆	多花菜豆	豆类
563	大白芸豆	多花菜豆	豆类
564	大花芸豆	多花菜豆	豆类
565	看花豆	多花菜豆	豆类
566	四棱豆	四棱豆	豆类
567	翼豆	四棱豆	豆类
568	翅豆	四棱豆	豆类
569	四角豆	四棱豆	豆类
570	杨桃豆	四棱豆	豆类
571	热带大豆	四棱豆	豆类
572	四稔豆	四棱豆	豆类
573	藜豆	藜豆	豆类
574	黧豆	藜豆	豆类
575	黎豆	藜豆	豆类
576	猫猫豆	藜豆	豆类
577	毛毛豆	藜豆	豆类
578	毛胡豆	藜豆	豆类
579	毛狗豆	藜豆	豆类
580	小狗豆	藜豆	豆类
581	狸豆	藜豆	豆类
582	八升豆	藜豆	豆类
583	狗爪豆	藜豆	豆类
584	莲藕	莲藕	水生蔬菜
585	莲	莲藕	水生蔬菜
586	藕	莲藕	水生蔬菜
587	荷	莲藕	水生蔬菜
588	茭白	茭白	水生蔬菜
589	茭瓜	茭白	水生蔬菜
590	茭笋	茭白	水生蔬菜
591	菰首	茭白	水生蔬菜
592	慈姑	慈姑	水生蔬菜
593	剪刀草	慈姑	水生蔬菜
594	燕尾草	慈姑	水生蔬菜
595	水芹	水芹	水生蔬菜
596	刀芹	水芹	水生蔬菜
597	楚葵	水芹	水生蔬菜
598	蜀芹	水芹	水生蔬菜
599	紫堇	水芹	水生蔬菜
600	蕲	水芹	水生蔬菜
601	荸荠	荸荠	水生蔬菜
602	马蹄	荸荠	水生蔬菜
603	地栗	荸荠	水生蔬菜
604	乌芋	荸荠	水生蔬菜
605	凫茈	荸荠	水生蔬菜
606	菱	菱	水生蔬菜
607	菱角	菱	水生蔬菜
608	龙角	菱	水生蔬菜
609	水栗	菱	水生蔬菜
610	豆瓣菜	豆瓣菜	水生蔬菜
611	西洋菜	豆瓣菜	水生蔬菜
612	水田芥	豆瓣菜	水生蔬菜
613	水蔊菜	豆瓣菜	水生蔬菜
614	芡实	芡实	水生蔬菜
615	鸡头米	芡实	水生蔬菜
616	鸡头	芡实	水生蔬菜
617	水底黄蜂	芡实	水生蔬菜
618	莼菜	莼菜	水生蔬菜
619	马蹄草	莼菜	水生蔬菜
620	水葵	莼菜	水生蔬菜
621	水荷叶	莼菜	水生蔬菜
622	湖菜	莼菜	水生蔬菜
623	露葵	莼菜	水生蔬菜
624	蒲菜	蒲菜	水生蔬菜
625	香蒲	蒲菜	水生蔬菜
626	甘蒲	蒲菜	水生蔬菜
627	海带	海带	水生蔬菜
628	海带结	海带	水生蔬菜
629	海带片	海带	水生蔬菜
630	海带丝	海带	水生蔬菜
631	海带头	海带	水生蔬菜
632	江白菜	海带	水生蔬菜
633	海白菜	海带	水生蔬菜
634	昆布	海带	水生蔬菜
635	紫菜	紫菜	水生蔬菜
636	笋用竹	笋用竹	多年生及杂类蔬菜
637	竹笋	笋用竹	多年生及杂类蔬菜
638	冬笋	笋用竹	多年生及杂类蔬菜
639	芦笋	芦笋	多年生及杂类蔬菜
640	石刁柏	芦笋	多年生及杂类蔬菜
641	龙须菜	芦笋	多年生及杂类蔬菜
642	黄花菜	黄花菜	多年生及杂类蔬菜
643	萱草	黄花菜	多年生及杂类蔬菜
644	金针菜	黄花菜	多年生及杂类蔬菜
645	百合	百合	多年生及杂类蔬菜
646	夜合	百合	多年生及杂类蔬菜
647	中篷花	百合	多年生及杂类蔬菜
648	香椿	香椿	多年生及杂类蔬菜
649	香椿树	香椿	多年生及杂类蔬菜
650	红椿	香椿	多年生及杂类蔬菜
651	椿花	香椿	多年生及杂类蔬菜
652	椿甜树	香椿	多年生及杂类蔬菜
653	枸杞	枸杞	多年生及杂类蔬菜
654	枸杞菜	枸杞	多年生及杂类蔬菜
655	枸杞头	枸杞	多年生及杂类蔬菜
656	枸杞芽	枸杞	多年生及杂类蔬菜
657	蘘荷	蘘荷	多年生及杂类蔬菜
658	阳霍	蘘荷	多年生及杂类蔬菜
659	野姜	蘘荷	多年生及杂类蔬菜
660	蘘草	蘘荷	多年生及杂类蔬菜
661	茗荷	蘘荷	多年生及杂类蔬菜
662	苴蓴	蘘荷	多年生及杂类蔬菜
663	菜蓟	菜蓟	多年生及杂类蔬菜
664	朝鲜蓟	菜蓟	多年生及杂类蔬菜
665	洋蓟	菜蓟	多年生及杂类蔬菜
666	荷兰百合	菜蓟	多年生及杂类蔬菜
667	法国百合	菜蓟	多年生及杂类蔬菜
668	辣根	辣根	多年生及杂类蔬菜
669	西洋山萮菜	辣根	多年生及杂类蔬菜
670	山葵萝卜	辣根	多年生及杂类蔬菜
671	食用大黄	食用大黄	多年生及杂类蔬菜
672	原叶大黄	食用大黄	多年生及杂类蔬菜
673	圆叶大黄	食用大黄	多年生及杂类蔬菜
674	黄秋葵	黄秋葵	多年生及杂类蔬菜
675	秋葵	黄秋葵	多年生及杂类蔬菜
676	羊角豆	黄秋葵	多年生及杂类蔬菜
677	桔梗	桔梗	多年生及杂类蔬菜
678	地参	桔梗	多年生及杂类蔬菜
679	四叶菜	桔梗	多年生及杂类蔬菜
680	绿花根	桔梗	多年生及杂类蔬菜
681	铃铛花	桔梗	多年生及杂类蔬菜
682	沙油菜	桔梗	多年生及杂类蔬菜
683	梗草	桔梗	多年生及杂类蔬菜
684	道拉基	桔梗	多年生及杂类蔬菜
685	蕨	蕨	多年生及杂类蔬菜
686	蕨菜	蕨	多年生及杂类蔬菜
687	蕨苔	蕨	多年生及杂类蔬菜
688	龙头菜	蕨	多年生及杂类蔬菜
689	蕨儿菜	蕨	多年生及杂类蔬菜
690	鹿蕨菜	蕨	多年生及杂类蔬菜
691	乾苔	乾苔	多年生及杂类蔬菜
692	发菜	乾苔	多年生及杂类蔬菜
693	头发菜	乾苔	多年生及杂类蔬菜
694	石发	乾苔	多年生及杂类蔬菜
695	蒌蒿	蒌蒿	多年生及杂类蔬菜
696	芦蒿	蒌蒿	多年生及杂类蔬菜
697	水蒿	蒌蒿	多年生及杂类蔬菜
698	香艾蒿	蒌蒿	多年生及杂类蔬菜
699	小艾	蒌蒿	多年生及杂类蔬菜
700	水艾	蒌蒿	多年生及杂类蔬菜
701	薇菜	薇菜	多年生及杂类蔬菜
702	野豌豆	薇菜	多年生及杂类蔬菜
703	大巢菜	薇菜	多年生及杂类蔬菜
704	斑矛架	薇菜	多年生及杂类蔬菜
705	野苕子	薇菜	多年生及杂类蔬菜
706	车前草	车前草	多年生及杂类蔬菜
707	车轮菜	车前草	多年生及杂类蔬菜
