日期	类型	数量
2012/5/26	产品B	1382
2012/5/26	产品C	1300
2012/5/27	产品A	1352
2012/5/27	产品B	1368
2012/5/27	产品C	1372
2012/5/28	产品A	1268
2012/5/28	产品B	1270
2012/5/28	产品C	1385
2012/5/29	产品A	1529
2012/5/29	产品B	1229
2012/5/29	产品C	1400
2012/5/30	产品B	1229
2012/5/30	产品C	1379
2012/5/31	产品A	1305
2012/5/31	产品B	1359
2012/6/1	产品A	1371
2012/6/1	产品B	1446
2012/6/2	产品A	1570
2012/6/2	产品B	1384
2012/6/2	产品C	1280
2012/6/3	产品A	1215
2012/6/3	产品B	1321
2012/6/3	产品C	1335
2012/6/4	产品A	1221
2012/6/4	产品B	1471
2012/6/4	产品C	1302
2012/6/5	产品A	1422
2012/6/5	产品B	1336
2012/6/5	产品C	1267
2012/6/6	产品A	1568
2012/6/6	产品B	1402
2012/6/6	产品C	1250
2012/6/7	产品A	1375
2012/6/7	产品B	1479
2012/6/7	产品C	1281
2012/6/8	产品A	1287
2012/6/8	产品B	1376
2012/6/8	产品C	1283
2012/6/9	产品B	1310
2012/6/9	产品C	1270
2012/6/10	产品A	1273
2012/6/10	产品B	1300
2012/6/10	产品C	1304
2012/6/11	产品A	1221
2012/6/11	产品B	1476
2012/6/12	产品A	1412
2012/6/12	产品B	1367
2012/6/12	产品C	1255
2012/6/13	产品A	1520
2012/6/14	产品A	1239
2012/6/14	产品B	1442
2012/6/15	产品A	1423
2012/6/15	产品B	1367
2012/6/15	产品C	1278
2012/6/16	产品A	1584
2012/6/16	产品B	1347
2012/6/16	产品C	1285
2012/6/17	产品A	1596
2012/6/17	产品B	1446
2012/6/17	产品C	1251
2012/6/18	产品A	1251
2012/6/18	产品C	1327
2012/6/19	产品C	1341
2012/6/20	产品B	1480
2012/6/20	产品C	1313
2012/6/21	产品A	1220
2012/6/21	产品B	1352
2012/6/21	产品C	1336
2012/6/22	产品B	1320
2012/6/22	产品C	1320
2012/6/23	产品A	1384
2012/6/23	产品B	1396
2012/6/23	产品C	1273
2012/6/24	产品A	1559
2012/6/24	产品B	1397
2012/6/24	产品C	1311
2012/6/25	产品A	1202
2012/6/25	产品B	1319
2012/6/25	产品C	1297
2012/6/26	产品A	1400
2012/6/26	产品C	1264
2012/6/27	产品A	1555
2012/6/27	产品B	1450
2012/6/27	产品C	1335
2012/6/28	产品A	1583
2012/6/28	产品B	1431
2012/6/28	产品C	1305
2012/6/29	产品A	1424
2012/6/29	产品C	1313
2012/6/30	产品A	1369
2012/6/30	产品B	1335
2012/7/1	产品A	1462
2012/7/1	产品B	1498
2012/7/1	产品C	1201
2012/7/2	产品A	1469
2012/7/2	产品C	1261
2012/7/3	产品A	1535
2012/7/3	产品B	1474
2012/7/3	产品C	1232
2012/7/4	产品B	1449
2012/7/4	产品C	1262
2012/7/5	产品A	1483
2012/7/5	产品C	1239
2012/7/6	产品A	1546
2012/7/6	产品B	1458
2012/7/6	产品C	1228
2012/7/7	产品A	1264
2012/7/7	产品B	1420
2012/7/7	产品C	1219
2012/7/8	产品A	1502
2012/7/8	产品B	1415
2012/7/9	产品A	1517
2012/7/10	产品A	1252
2012/7/10	产品B	1583
2012/7/10	产品C	1224
2012/7/11	产品A	1385
2012/7/11	产品C	1220
2012/7/12	产品A	1325
2012/7/12	产品C	1270
2012/7/13	产品A	1417
2012/7/13	产品B	1429
2012/7/13	产品C	1297
2012/7/14	产品B	1599
2012/7/14	产品C	1265
2012/7/15	产品B	1554
2012/7/15	产品C	1266
2012/7/16	产品A	1553
2012/7/16	产品B	1551
2012/7/16	产品C	1231
2012/7/17	产品A	1288
2012/7/17	产品B	1581
2012/7/17	产品C	1249
2012/7/18	产品A	1368
2012/7/18	产品B	1550
2012/7/18	产品C	1245
2012/7/19	产品A	1225
2012/7/19	产品B	1411
2012/7/19	产品C	1275
2012/7/20	产品A	1510
2012/7/20	产品B	1457
2012/7/20	产品C	1217
2012/7/21	产品A	1438
2012/7/21	产品B	1493
2012/7/22	产品B	1558
2012/7/23	产品A	1317
2012/7/23	产品B	1409
2012/7/23	产品C	1247
2012/7/24	产品A	1244
2012/7/24	产品B	1578
2012/7/24	产品C	1230
2012/7/25	产品A	1496
2012/7/25	产品B	1503
2012/7/25	产品C	1258
2012/7/26	产品A	1439
2012/7/26	产品C	1250
2012/7/27	产品A	1388
2012/7/27	产品B	1475
2012/7/28	产品B	1487
2012/7/29	产品A	1300
2012/7/29	产品B	1508
2012/7/29	产品C	1260
2012/7/30	产品A	1591
2012/7/30	产品B	1401
2012/7/31	产品B	1553
2012/7/31	产品C	1217
2012/8/1	产品A	1322
2012/8/1	产品B	1561
2012/8/2	产品A	1244
2012/8/2	产品B	1695
2012/8/2	产品C	1177
2012/8/3	产品A	1217
2012/8/3	产品B	1520
2012/8/4	产品B	1579
2012/8/4	产品C	1215
2012/8/5	产品B	1638
2012/8/6	产品A	1513
2012/8/6	产品C	1167
2012/8/7	产品A	1278
2012/8/7	产品B	1564
2012/8/7	产品C	1228
2012/8/8	产品A	1394
2012/8/8	产品B	1501
2012/8/8	产品C	1210
2012/8/9	产品A	1424
2012/8/9	产品B	1522
2012/8/9	产品C	1192
2012/8/10	产品B	1545
2012/8/10	产品C	1153
2012/8/11	产品A	1453
2012/8/11	产品B	1596
2012/8/11	产品C	1224
2012/8/12	产品A	1409
2012/8/12	产品B	1504
2012/8/13	产品C	1201
2012/8/14	产品A	1589
2012/8/14	产品B	1520
2012/8/15	产品A	1365
2012/8/15	产品B	1538
2012/8/15	产品C	1202
2012/8/16	产品A	1275
2012/8/16	产品B	1591
2012/8/17	产品A	1338
2012/8/17	产品B	1560
2012/8/17	产品C	1165
2012/8/18	产品A	1217
2012/8/18	产品B	1676
2012/8/18	产品C	1205
2012/8/19	产品A	1402
2012/8/19	产品B	1648
2012/8/19	产品C	1245
2012/8/20	产品A	1500
2012/8/20	产品B	1535
2012/8/20	产品C	1188
2012/8/21	产品A	1510
2012/8/22	产品A	1355
2012/8/22	产品B	1529
2012/8/22	产品C	1201
2012/8/23	产品A	1331
2012/8/23	产品B	1630
2012/8/23	产品C	1170
2012/8/24	产品A	1397
2012/8/24	产品B	1562
2012/8/24	产品C	1212
2012/8/25	产品C	1189
2012/8/26	产品A	1209
2012/8/26	产品C	1183
2012/8/27	产品A	1387
2012/8/27	产品B	1573
2012/8/27	产品C	1221
2012/8/28	产品A	1530
2012/8/28	产品B	1508
2012/8/29	产品A	1256
2012/8/29	产品B	1612
2012/8/29	产品C	1197
2012/8/30	产品A	1382
2012/8/30	产品B	1647
2012/8/30	产品C	1182
2012/8/31	产品A	1519
2012/8/31	产品B	1677
2012/9/1	产品A	1589
2012/9/1	产品B	1636
2012/9/1	产品C	1118
2012/9/2	产品A	1480
2012/9/2	产品B	1758
2012/9/2	产品C	1183
2012/9/3	产品A	1382
2012/9/3	产品B	1686
2012/9/3	产品C	1129
2012/9/4	产品A	1225
2012/9/4	产品B	1718
2012/9/4	产品C	1171
2012/9/5	产品A	1367
2012/9/5	产品B	1772
2012/9/5	产品C	1194
2012/9/6	产品A	1455
2012/9/6	产品B	1620
2012/9/6	产品C	1115
2012/9/7	产品A	1428
2012/9/7	产品B	1612
2012/9/7	产品C	1191
2012/9/8	产品B	1629
2012/9/8	产品C	1102
2012/9/9	产品A	1433
2012/9/9	产品B	1629
2012/9/10	产品A	1398
2012/9/10	产品B	1713
2012/9/10	产品C	1148
2012/9/11	产品A	1366
2012/9/11	产品B	1635
2012/9/11	产品C	1148
2012/9/12	产品A	1586
2012/9/12	产品C	1153
2012/9/13	产品A	1549
2012/9/14	产品A	1432
2012/9/14	产品B	1733
2012/9/15	产品A	1519
2012/9/15	产品B	1677
2012/9/15	产品C	1183
2012/9/16	产品A	1293
2012/9/16	产品B	1615
2012/9/16	产品C	1195
2012/9/17	产品A	1349
2012/9/18	产品A	1544
2012/9/18	产品B	1784
2012/9/18	产品C	1117
2012/9/19	产品B	1755
2012/9/19	产品C	1141
2012/9/20	产品A	1279
2012/9/20	产品B	1762
2012/9/21	产品A	1341
2012/9/21	产品B	1609
2012/9/21	产品C	1153
2012/9/22	产品A	1326
2012/9/22	产品B	1746
2012/9/22	产品C	1158
2012/9/23	产品A	1337
2012/9/23	产品B	1626
2012/9/24	产品A	1417
2012/9/24	产品B	1752
2012/9/24	产品C	1186
2012/9/25	产品A	1460
2012/9/25	产品B	1697
2012/9/26	产品A	1501
2012/9/26	产品B	1752
2012/9/26	产品C	1139
2012/9/27	产品A	1459
2012/9/27	产品B	1704
2012/9/28	产品B	1746
2012/9/28	产品C	1188
2012/9/29	产品A	1520
2012/9/29	产品B	1678
2012/9/29	产品C	1194
2012/9/30	产品A	1412
2012/9/30	产品B	1659
2012/9/30	产品C	1165
2012/10/1	产品A	1496
2012/10/1	产品B	1798
2012/10/1	产品C	1110
2012/10/2	产品A	1575
2012/10/2	产品B	1727
2012/10/2	产品C	1077
2012/10/3	产品A	1541
2012/10/3	产品C	1139
2012/10/4	产品A	1486
2012/10/4	产品B	1867
2012/10/5	产品A	1533
2012/10/5	产品B	1758
2012/10/5	产品C	1077
2012/10/6	产品A	1377
2012/10/6	产品C	1085
2012/10/7	产品B	1808
2012/10/7	产品C	1112
2012/10/8	产品A	1270
2012/10/8	产品B	1707
2012/10/8	产品C	1131
2012/10/9	产品A	1529
2012/10/9	产品B	1759
2012/10/9	产品C	1116
2012/10/10	产品A	1555
2012/10/10	产品B	1853
2012/10/10	产品C	1095
2012/10/11	产品A	1342
2012/10/11	产品B	1770
2012/10/11	产品C	1112
2012/10/12	产品A	1329
2012/10/12	产品B	1754
2012/10/12	产品C	1106
2012/10/13	产品A	1209
2012/10/13	产品B	1751
2012/10/13	产品C	1122
2012/10/14	产品A	1445
2012/10/14	产品B	1718
2012/10/14	产品C	1082
2012/10/15	产品A	1567
2012/10/15	产品C	1062
2012/10/16	产品A	1232
2012/10/16	产品C	1088
2012/10/17	产品A	1204
2012/10/17	产品B	1766
2012/10/17	产品C	1122
2012/10/18	产品A	1525
2012/10/18	产品B	1851
2012/10/18	产品C	1095
2012/10/19	产品A	1373
2012/10/19	产品B	1712
2012/10/19	产品C	1110
2012/10/20	产品A	1560
2012/10/21	产品B	1889
2012/10/21	产品C	1113
2012/10/22	产品B	1868
2012/10/22	产品C	1076
2012/10/23	产品A	1305
2012/10/23	产品B	1827
2012/10/23	产品C	1106
2012/10/24	产品A	1545
2012/10/25	产品A	1385
2012/10/25	产品B	1872
2012/10/25	产品C	1073
2012/10/26	产品A	1459
2012/10/26	产品C	1053
2012/10/27	产品A	1458
2012/10/27	产品B	1777
2012/10/28	产品B	1887
2012/10/28	产品C	1147
2012/10/29	产品B	1743
2012/10/29	产品C	1149
2012/10/30	产品A	1485
2012/10/30	产品B	1889
2012/10/30	产品C	1081
2012/10/31	产品A	1328
2012/10/31	产品B	1793
2012/11/1	产品A	1211
2012/11/1	产品B	1857
2012/11/1	产品C	1097
2012/11/2	产品A	1304
2012/11/2	产品B	1831
2012/11/2	产品C	1068
2012/11/3	产品A	1211
2012/11/3	产品B	1853
2012/11/3	产品C	1098
2012/11/4	产品A	1542
2012/11/4	产品B	1907
2012/11/5	产品A	1559
2012/11/5	产品B	1992
2012/11/5	产品C	1046
2012/11/6	产品A	1441
2012/11/6	产品B	1898
2012/11/6	产品C	1052
2012/11/7	产品A	1303
2012/11/7	产品B	1865
2012/11/8	产品A	1335
2012/11/8	产品B	1834
2012/11/8	产品C	1016
2012/11/9	产品A	1379
2012/11/9	产品B	1872
2012/11/9	产品C	1075
2012/11/10	产品B	1844
2012/11/11	产品B	1958
2012/11/11	产品C	1092
2012/11/12	产品A	1398
2012/11/12	产品C	1047
2012/11/13	产品A	1569
2012/11/13	产品B	1890
2012/11/13	产品C	1099
2012/11/14	产品A	1246
2012/11/14	产品B	1894
2012/11/15	产品A	1401
2012/11/15	产品B	1877
2012/11/15	产品C	1081
2012/11/16	产品B	1925
2012/11/16	产品C	1038
2012/11/17	产品A	1266
2012/11/17	产品B	1899
2012/11/17	产品C	1022
2012/11/18	产品A	1556
2012/11/18	产品B	1849
2012/11/18	产品C	1095
2012/11/19	产品A	1264
2012/11/19	产品B	1900
2012/11/19	产品C	1072
2012/11/20	产品A	1425
2012/11/20	产品C	1026
2012/11/21	产品A	1220
2012/11/21	产品B	1951
2012/11/22	产品A	1272
2012/11/22	产品B	1866
2012/11/22	产品C	1036
2012/11/23	产品C	1013
2012/11/24	产品B	1937
2012/11/24	产品C	1066
2012/11/25	产品A	1221
2012/11/25	产品B	1830
2012/11/25	产品C	1066
2012/11/26	产品A	1324
2012/11/26	产品B	1979
2012/11/26	产品C	1060
2012/11/27	产品A	1235
2012/11/27	产品B	1867
2012/11/27	产品C	1012
2012/11/28	产品A	1314
2012/11/28	产品B	1943
2012/11/28	产品C	1019
2012/11/29	产品A	1357
2012/11/29	产品C	1032
2012/11/30	产品A	1453
2012/11/30	产品B	1850
2012/11/30	产品C	1096
2012/12/1	产品A	1600
2012/12/1	产品B	1966
2012/12/1	产品C	1024
2012/12/2	产品A	1465
2012/12/2	产品B	2069
2012/12/2	产品C	977
2012/12/3	产品A	1454
2012/12/3	产品B	2081
2012/12/3	产品C	995
2012/12/4	产品A	1413
2012/12/5	产品A	1342
2012/12/5	产品B	1911
2012/12/5	产品C	952
2012/12/6	产品B	2075
2012/12/6	产品C	992
2012/12/7	产品B	1924
2012/12/7	产品C	1034
2012/12/8	产品A	1559
2012/12/8	产品B	1922
2012/12/8	产品C	1006
2012/12/9	产品A	1214
2012/12/9	产品B	2074
2012/12/9	产品C	982
2012/12/10	产品A	1300
2012/12/10	产品B	2045
2012/12/10	产品C	1006
2012/12/11	产品A	1231
2012/12/11	产品B	2018
2012/12/11	产品C	955
2012/12/12	产品A	1209
2012/12/12	产品C	984
2012/12/13	产品A	1406
2012/12/13	产品C	1016
2012/12/14	产品A	1570
2012/12/14	产品B	2002
2012/12/14	产品C	1013
2012/12/15	产品A	1374
2012/12/15	产品B	2067
2012/12/16	产品B	1949
2012/12/16	产品C	1035
2012/12/17	产品A	1236
2012/12/17	产品C	976
2012/12/18	产品A	1519
2012/12/18	产品B	2100
2012/12/18	产品C	1004
2012/12/19	产品A	1428
2012/12/19	产品B	1919
2012/12/19	产品C	966
2012/12/20	产品A	1213
2012/12/20	产品B	1975
2012/12/20	产品C	977
2012/12/21	产品A	1450
2012/12/21	产品B	2058
2012/12/21	产品C	1000
2012/12/22	产品A	1566
2012/12/22	产品B	1938
2012/12/22	产品C	1025
2012/12/23	产品A	1596
2012/12/23	产品B	1936
2012/12/23	产品C	1015
2012/12/24	产品A	1393
2012/12/24	产品B	2006
2012/12/24	产品C	1026
2012/12/25	产品B	2100
2012/12/25	产品C	987
2012/12/26	产品A	1531
2012/12/26	产品C	1044
2012/12/27	产品A	1338
2012/12/27	产品B	2017
2012/12/27	产品C	1008
2012/12/28	产品A	1266
2012/12/28	产品C	1031
2012/12/29	产品A	1235
2012/12/29	产品B	2041
2012/12/29	产品C	1036
2012/12/30	产品A	1383
2012/12/30	产品B	1935
2012/12/30	产品C	987
2012/12/31	产品C	959
