商品代码,商品名称
PC014,联想_lenovo C5030 23英寸一体机 白色
PC009,联想_Lenovo IdeaCentre C560 一体机
PC012,联想_lenovo M2620N 处理器j1820台式主机
TC013,联想_ThinkPad 8（20BNA00RCD）8.3英寸触控平板电脑
NC017,联想_ThinkPad E450C 20EH-A009CD 14英寸笔记本电脑
NC018,联想_ThinkPad E450C-20EHA00ACD 14英寸笔记本电脑
NC019,联想_ThinkPad E450C-20EHA01-7CD 14英寸笔记本电脑
TC014,联想_ThinkPad E450c-20EHA01-7CD 14英寸笔记本电脑
NC020,联想_ThinkPad X250-20CLA26-1CD 12.5英寸笔记本电脑
WH010,林内_Rinnai RUS-11E22CWNF 11L燃气热水器
WH011,林内_Rinnai RUS-13E22CWNF燃气热水器
RF013,美的_Midea BCD-206TM(E)冰箱
WH013,美的_Midea F05-15A(S)小厨宝
WH012,美的_Midea F50-15A1 50升 电热水器
WH014,美的_Midea F60-15WB5(Y)电热水器
WH015,美的_Midea JSQ22-12HWB 12升 燃气热水器
RF014,美菱_MeLing BCD-181MLC双门冰箱
RF015,美菱_MeLing BCD-206L3CT冰箱
WH016,能率_NORITZ GQ-1150FE 11升燃气热水器
WH017,能率_NORITZ GQ-1350FE 13升 燃气热水器
RF017,容声_Ronshen BCD-201E/A冰箱
RF016,容声_Ronshen BCD-202M/TX6-GF61-C冰箱
RF016,容声_Ronshen BCD-202M/TX6-GF61-C冰箱
TC012,三星_SAMSUNG Galaxy TAB3 P5200 10.1英寸智能平板电脑
TC012,三星_SAMSUNG Galaxy TAB3 P5200 10.1英寸智能平板电脑
WM013,三洋_XQG60-F1029 6公斤 滚筒全自动洗衣机
WM013,三洋_XQG60-F1029 6公斤 滚筒全自动洗衣机
WM014,松井_SJ-G13S双层可移动干衣机
WM014,松井_SJ-G13S双层可移动干衣机
WM015,松下_Panasonic XQB60-Q662U 6公斤 立体搓全自动波轮洗衣机
WM015,松下_Panasonic XQB60-Q662U 6公斤 立体搓全自动波轮洗衣机
TV001,索尼_SONY KDL 55英寸高清3D液晶电视
TV001,索尼_SONY KDL 55英寸高清3D液晶电视
TV014,索尼_SONY KLV-40R476A平板电视
TV014,索尼_SONY KLV-40R476A平板电视
WM016,天骏小天使_TIJUMP 家用干衣机
WM016,天骏小天使_TIJUMP 家用干衣机
WH018,万家乐_JSQ20-10201 10升 燃气热水器
WH018,万家乐_JSQ20-10201 10升 燃气热水器
WH019,万家乐_JSQ24-12201 12升 燃气热水器
WH019,万家乐_JSQ24-12201 12升 燃气热水器
TC011,微软_Microsoft Surface Pro 4 12.3英寸平板电脑
TC011,微软_Microsoft Surface Pro 4 12.3英寸平板电脑
WM017,西格玛_sigma 家用除菌全自动滚筒干衣机
RF019,西门子_SIEMENS KG23F1861W冰箱
RF020,西门子_SIEMENS KG23N1116W冰箱
RF018,西门子_SIEMENS KK20V40TI冰箱
TV015,夏普_Sharp LCD-40DS30A平板电视
TV020,夏普_Sharp LCD-52DS50A智能LED液晶电视
WH020,小鸭_XDWJ-40SA1 40升 电热水器
WM018,小鸭_XPB28-1808S双缸洗衣机
WM019,小鸭_XPB36-1803 3.6公斤 单缸半自动洗衣机
TC018,亚马逊_Fire HDX 8.9平板电脑
TC017,亚马逊_Fire 平板电脑
AC016,月兔_KFR-25GW/d03-A2c-70Y5R空调
AC017,长虹_ChangHong KFR-23GW/DHT1(W1-G)+T空调
TV019,长虹_ChangHong LED32B1300平板电视
AC019,志高_CHIGO KFR-25GW/B104+N2空调
AC020,志高_CHIGO KFR-25GW/D104+N3空调
AC018,志高_CHIGO KFR-35GW/C104+N3空调
